Timestep ; SegregationEntropy
155 ; 0.7489059518828007
156 ; 0.7477774904624317
157 ; 0.7474266129165494
158 ; 0.7498451052599165
159 ; 0.7507604361535446
160 ; 0.7515206009412627
161 ; 0.7518294046708809
162 ; 0.7509278171480128
163 ; 0.753384028447642
164 ; 0.752738025402152
165 ; 0.7519983082104753
166 ; 0.7503148550239194
167 ; 0.7487209300800617
168 ; 0.748392969266962
169 ; 0.748414039671649
170 ; 0.7482633303178556
171 ; 0.7463189858882076
172 ; 0.746776179225017
173 ; 0.7479183676351131
174 ; 0.7490642077755557
175 ; 0.7496051674775337
176 ; 0.7494370203753007
177 ; 0.7525012885415312
178 ; 0.7540618762600239
179 ; 0.754442225475241
180 ; 0.7515224651674245
181 ; 0.7509687203337025
182 ; 0.750902831564175
183 ; 0.753715948153741
184 ; 0.7529027606063289
185 ; 0.7496458351405769
186 ; 0.7492013718115114
187 ; 0.7507235077284665
188 ; 0.7534358579650493
189 ; 0.7555289635332526
190 ; 0.7545043594733193
191 ; 0.7555760502929629
192 ; 0.756913155561351
193 ; 0.7602372212579454
194 ; 0.7577767635639172
195 ; 0.7579442657536242
196 ; 0.7574001357309359
197 ; 0.7592286655539474
198 ; 0.7591281355753484
199 ; 0.7609974926885603
200 ; 0.7628501169231198
